hora,member_casual,total
0,casual,36824
0,member,31307
1,casual,23463
1,member,19081
2,casual,15717
2,member,11473
3,casual,8763
3,member,7472
4,casual,6947
4,member,8577
5,casual,11110
5,member,33640
6,casual,25794
6,member,99242
7,casual,48056
7,member,196502
8,casual,68235
8,member,252445
9,casual,68464
9,member,163498
10,casual,82535
10,member,140560
11,casual,105315
11,member,164693
12,casual,123879
12,member,186437
13,casual,126935
13,member,181566
14,casual,133649
14,member,184314
15,casual,148452
15,member,233104
16,casual,169352
16,member,329014
17,casual,183797
17,member,375529
18,casual,157380
18,member,290072
19,casual,116841
19,member,200079
20,casual,84004
20,member,138477
21,casual,71502
21,member,107952
22,casual,60280
22,member,78635
23,casual,43678
23,member,49050
